total_loans,percent,state
259,17.760617760617762,DC
262,16.793893129770993,DE
1271,16.443745082612114,WI
1076,16.356877323420075,AR
2862,15.86303284416492,LA
1874,15.795090715048026,NV
2448,15.727124183006536,TN
11080,15.460288808664261,IL
3854,15.412558380902958,NY
1862,15.145005370569281,IN
2870,14.947735191637632,MI
1265,14.308300395256918,VA
8865,13.728144388042866,GA
7479,13.664928466372508,TX
8837,13.579268982686433,CA
3363,13.559322033898304,OH
1539,12.865497076023392,SC
1395,12.759856630824373,AZ
2413,12.681309573145464,PA
1471,12.64445955132563,MO
1830,12.349726775956285,AL
1327,12.207987942727957,MD
34,11.76470588235294,WY
6522,11.422876418276601,FL
496,11.29032258064516,IA
1322,10.968229954614221,NJ
1702,10.928319623971799,NC
771,10.894941634241246,MN
1644,10.766423357664232,MS
67,10.44776119402985,AK
546,9.706959706959708,CO
222,9.45945945945946,NE
174,8.620689655172415,RI
585,8.547008547008547,CT
587,7.836456558773425,WA
580,7.758620689655173,OK
145,7.586206896551724,WV
891,7.519640852974187,MA
648,7.4074074074074066,KY
454,7.268722466960352,KS
214,7.009345794392523,UT
184,6.521739130434782,NM
65,6.153846153846154,MT
74,5.405405405405405,SD
19,5.263157894736842,VT
326,4.601226993865031,OR
96,3.125,HI
323,3.0959752321981426,PR
79,2.5316455696202533,ND
108,1.8518518518518516,NH
123,1.6260162601626018,ME
133,1.5037593984962405,ID
